input alg leaves trees k t1 t2 t3 timeout errorInFile
NewHybroVsNorbert2/00002_00000056.txt Hybroscale 23 2 6 0.193 0.347 0.008 False False
NewHybroVsNorbert2/00002_00000057.txt Hybroscale 22 2 9 0.393 0.786 0.077 False False
NewHybroVsNorbert2/00002_00000058.txt Hybroscale 22 2 7 0.256 0.538 0.037 False False
NewHybroVsNorbert2/00002_00000059.txt Hybroscale 22 2 5 0.17 0.248 0.004 False False
NewHybroVsNorbert2/00002_00000060.txt Hybroscale 21 2 9 0.292 0.617 0.057 False False
NewHybroVsNorbert2/00002_00000061.txt Hybroscale 23 2 10 0.642 1.597 0.074 False False
NewHybroVsNorbert2/00002_00000062.txt Hybroscale 25 2 7 0.208 0.346 0.035 False False
NewHybroVsNorbert2/00002_00000063.txt Hybroscale 24 2 6 0.195 0.354 0.013 False False
NewHybroVsNorbert2/00002_00000064.txt Hybroscale 24 2 7 0.19 0.26 0.024 False False
NewHybroVsNorbert2/00002_00000065.txt Hybroscale 24 2 7 0.233 0.442 0.058 False False
NewHybroVsNorbert2/00002_00000066.txt Hybroscale 25 2 9 0.388 0.769 0.064 False False
NewHybroVsNorbert2/00002_00000067.txt Hybroscale 23 2 7 0.2 0.366 0.026 False False
NewHybroVsNorbert2/00002_00000068.txt Hybroscale 24 2 6 0.187 0.322 0.022 False False
NewHybroVsNorbert2/00002_00000069.txt Hybroscale 24 2 9 0.292 0.586 0.075 False False
NewHybroVsNorbert2/00002_00000070.txt Hybroscale 24 2 5 0.204 0.324 0.033 False False
NewHybroVsNorbert2/00002_00000071.txt Hybroscale 24 2 9 0.402 0.916 0.073 False False
NewHybroVsNorbert2/00002_00000072.txt Hybroscale 23 2 10 0.613 1.564 0.077 False False
NewHybroVsNorbert2/00002_00000073.txt Hybroscale 24 2 9 0.269 0.582 0.035 False False
NewHybroVsNorbert2/00002_00000074.txt Hybroscale 25 2 13 1.279 3.43 0.104 False False
NewHybroVsNorbert2/00002_00000075.txt Hybroscale 24 2 8 0.226 0.437 0.037 False False
NewHybroVsNorbert2/00002_00000076.txt Hybroscale 25 2 11 0.518 1.275 0.099 False False
NewHybroVsNorbert2/00002_00000077.txt Hybroscale 25 2 9 0.297 0.651 0.052 False False
NewHybroVsNorbert2/00002_00000078.txt Hybroscale 24 2 10 0.389 0.86 0.061 False False
NewHybroVsNorbert2/00002_00000079.txt Hybroscale 25 2 11 0.641 1.549 0.079 False False
NewHybroVsNorbert2/00002_00000080.txt Hybroscale 27 2 8 0.218 0.371 0.012 False False
NewHybroVsNorbert2/00002_00000081.txt Hybroscale 25 2 11 0.395 0.929 0.06 False False
NewHybroVsNorbert2/00002_00000082.txt Hybroscale 25 2 8 0.29 0.559 0.067 False False
NewHybroVsNorbert2/00002_00000083.txt Hybroscale 25 2 10 0.37 0.84 0.076 False False
NewHybroVsNorbert2/00002_00000084.txt Hybroscale 25 2 9 0.401 0.885 0.029 False False
NewHybroVsNorbert2/00002_00000085.txt Hybroscale 27 2 5 0.204 0.368 0.025 False False
NewHybroVsNorbert2/00002_00000086.txt Hybroscale 29 2 11 0.688 1.792 0.069 False False
NewHybroVsNorbert2/00002_00000087.txt Hybroscale 27 2 13 1.223 3.171 0.101 False False
NewHybroVsNorbert2/00002_00000088.txt Hybroscale 26 2 8 0.269 0.56 0.049 False False
NewHybroVsNorbert2/00002_00000089.txt Hybroscale 27 2 12 1.087 2.962 0.077 False False
NewHybroVsNorbert2/00002_00000090.txt Hybroscale 26 2 10 0.392 0.862 0.084 False False
NewHybroVsNorbert2/00003_00000001.txt Hybroscale 20 2 1 0.159 0.18 0.031 False False
NewHybroVsNorbert2/00003_00000002.txt Hybroscale 20 2 1 0.152 0.21 0.004 False False
NewHybroVsNorbert2/00003_00000004.txt Hybroscale 20 2 1 0.163 0.188 0.036 False False
NewHybroVsNorbert2/00003_00000005.txt Hybroscale 20 2 1 0.151 0.193 0.02 False False
NewHybroVsNorbert2/00003_00000006.txt Hybroscale 20 2 1 0.15 0.194 0.019 False False
NewHybroVsNorbert2/00003_00000007.txt Hybroscale 20 3 2 0.153 0.196 0.025 False False
NewHybroVsNorbert2/00003_00000008.txt Hybroscale 20 3 2 2.055 0.58 0.02 False False
NewHybroVsNorbert2/00003_00000009.txt Hybroscale 20 3 2 0.159 0.209 0.018 False False
NewHybroVsNorbert2/00003_00000010.txt Hybroscale 20 3 2 1.673 0.667 0.049 False False
NewHybroVsNorbert2/00003_00000011.txt Hybroscale 20 3 2 1.666 0.859 0.041 False False
NewHybroVsNorbert2/00003_00000012.txt Hybroscale 20 3 2 1.689 0.656 0.049 False False
NewHybroVsNorbert2/00003_00000013.txt Hybroscale 20 3 2 1.695 0.557 0.027 False False
NewHybroVsNorbert2/00003_00000014.txt Hybroscale 20 3 2 0.159 0.229 0.009 False False
NewHybroVsNorbert2/00003_00000015.txt Hybroscale 20 3 2 1.677 0.52 0.048 False False
NewHybroVsNorbert2/00003_00000016.txt Hybroscale 20 2 1 0.163 0.183 0.041 False False
NewHybroVsNorbert2/00003_00000017.txt Hybroscale 20 3 2 1.682 0.539 0.044 False False
NewHybroVsNorbert2/00003_00000019.txt Hybroscale 20 3 3 2.694 1.124 0.072 False False
NewHybroVsNorbert2/00003_00000020.txt Hybroscale 20 3 4 2.691 2.358 0.073 False False
NewHybroVsNorbert2/00003_00000021.txt Hybroscale 20 3 4 1.705 2.032 0.085 False False
NewHybroVsNorbert2/00003_00000022.txt Hybroscale 20 3 3 1.69 1.05 0.058 False False
NewHybroVsNorbert2/00003_00000023.txt Hybroscale 20 3 2 1.679 0.532 0.022 False False
NewHybroVsNorbert2/00003_00000024.txt Hybroscale 20 3 4 1.698 1.357 0.045 False False
NewHybroVsNorbert2/00003_00000025.txt Hybroscale 20 3 4 1.7 3.315 0.065 False False
NewHybroVsNorbert2/00003_00000026.txt Hybroscale 20 3 2 0.162 0.218 0.016 False False
NewHybroVsNorbert2/00003_00000027.txt Hybroscale 20 3 3 1.684 0.8 0.049 False False
NewHybroVsNorbert2/00003_00000028.txt Hybroscale 20 3 5 2.714 3.203 0.094 False False
NewHybroVsNorbert2/00003_00000029.txt Hybroscale 20 3 5 1.715 5.062 0.138 False False
NewHybroVsNorbert2/00003_00000030.txt Hybroscale 20 3 2 1.698 0.543 0.036 False False
NewHybroVsNorbert2/00003_00000031.txt Hybroscale 20 3 3 1.672 0.567 0.045 False False
NewHybroVsNorbert2/00003_00000032.txt Hybroscale 20 3 3 1.686 0.685 0.063 False False
NewHybroVsNorbert2/00003_00000033.txt Hybroscale 20 3 4 2.689 1.572 0.087 False False
NewHybroVsNorbert2/00003_00000034.txt Hybroscale 20 3 4 1.691 1.017 0.075 False False
NewHybroVsNorbert2/00003_00000035.txt Hybroscale 20 3 4 2.706 1.79 0.053 False False
NewHybroVsNorbert2/00003_00000036.txt Hybroscale 20 3 5 2.702 4.44 0.105 False False
NewHybroVsNorbert2/00003_00000037.txt Hybroscale 20 3 7 6.049 20.96 0.413 False False
NewHybroVsNorbert2/00003_00000038.txt Hybroscale 20 3 5 3.695 3.737 0.101 False False
NewHybroVsNorbert2/00003_00000039.txt Hybroscale 20 3 6 2.696 1.775 0.085 False False
NewHybroVsNorbert2/00003_00000040.txt Hybroscale 20 3 5 2.702 3.308 0.093 False False
NewHybroVsNorbert2/00003_00000041.txt Hybroscale 20 3 5 2.743 2.939 0.061 False False
NewHybroVsNorbert2/00003_00000042.txt Hybroscale 20 3 3 0.163 0.218 0.02 False False
NewHybroVsNorbert2/00003_00000043.txt Hybroscale 20 3 6 3.754 12.053 0.19 False False
NewHybroVsNorbert2/00003_00000044.txt Hybroscale 20 3 4 2.686 1.518 0.053 False False
NewHybroVsNorbert2/00003_00000045.txt Hybroscale 20 3 6 2.721 7.286 0.129 False False
NewHybroVsNorbert2/00003_00000046.txt Hybroscale 20 3 5 2.723 2.725 0.117 False False
NewHybroVsNorbert2/00003_00000047.txt Hybroscale 20 3 3 1.691 0.827 0.049 False False
NewHybroVsNorbert2/00003_00000048.txt Hybroscale 20 3 7 4.908 12.434 0.237 False False
NewHybroVsNorbert2/00003_00000049.txt Hybroscale 20 3 6 1.735 2.524 0.089 False False
NewHybroVsNorbert2/00003_00000050.txt Hybroscale 20 3 6 2.736 4.651 0.133 False False
NewHybroVsNorbert2/00003_00000051.txt Hybroscale 20 3 5 2.706 2.18 0.093 False False
NewHybroVsNorbert2/00003_00000052.txt Hybroscale 20 3 8 25.865 99.863 0.784 False False
NewHybroVsNorbert2/00003_00000053.txt Hybroscale 20 3 6 2.796 6.287 0.141 False False
NewHybroVsNorbert2/00003_00000054.txt Hybroscale 20 3 6 2.729 4.945 0.094 False False
NewHybroVsNorbert2/00003_00000055.txt Hybroscale 20 3 7 10.632 40.011 0.783 False False
NewHybroVsNorbert2/00003_00000056.txt Hybroscale 20 3 8 3.781 8.963 0.205 False False
NewHybroVsNorbert2/00003_00000057.txt Hybroscale 20 3 4 2.69 1.052 0.064 False False
NewHybroVsNorbert2/00003_00000058.txt Hybroscale 20 3 7 2.733 5.063 0.093 False False
NewHybroVsNorbert2/00003_00000059.txt Hybroscale 20 3 5 2.697 4.523 0.105 False False
NewHybroVsNorbert2/00003_00000060.txt Hybroscale 20 3 7 2.754 5.786 0.109 False False
NewHybroVsNorbert2/00003_00000061.txt Hybroscale 20 3 3 1.69 1.912 0.087 False False
NewHybroVsNorbert2/00003_00000062.txt Hybroscale 20 3 9 22.019 82.977 0.921 False False
NewHybroVsNorbert2/00003_00000063.txt Hybroscale 20 3 5 3.194 1.194 0.049 False False
NewHybroVsNorbert2/00003_00000064.txt Hybroscale 20 3 6 4.756 15.026 0.354 False False
NewHybroVsNorbert2/00003_00000065.txt Hybroscale 20 3 8 5.069 13.286 0.198 False False
NewHybroVsNorbert2/00003_00000066.txt Hybroscale 20 3 6 2.733 5.859 0.13 False False
NewHybroVsNorbert2/00003_00000067.txt Hybroscale 20 3 9 225.418 888.428 1.713 False False
NewHybroVsNorbert2/00003_00000068.txt Hybroscale 20 3 8 3.732 8.083 0.137 False False
NewHybroVsNorbert2/00003_00000069.txt Hybroscale 20 3 7 3.793 8.743 0.208 False False
NewHybroVsNorbert2/00003_00000070.txt Hybroscale 20 3 8 13.507 51.172 0.738 False False
NewHybroVsNorbert2/00003_00000071.txt Hybroscale 20 3 7 3.744 10.75 0.234 False False
NewHybroVsNorbert2/00003_00000072.txt Hybroscale 20 3 5 2.7 2.438 0.073 False False
NewHybroVsNorbert2/00005_00000002.txt Hybroscale 20 2 1 0.164 0.187 0.036 False False
NewHybroVsNorbert2/00005_00000003.txt Hybroscale 20 2 1 0.165 0.186 0.036 False False
NewHybroVsNorbert2/00005_00000004.txt Hybroscale 20 2 1 0.163 0.199 0.022 False False
NewHybroVsNorbert2/00005_00000007.txt Hybroscale 20 4 2 1.688 1.007 0.048 False False
NewHybroVsNorbert2/00005_00000008.txt Hybroscale 20 4 2 1.683 0.931 0.043 False False
NewHybroVsNorbert2/00005_00000009.txt Hybroscale 20 4 2 1.682 0.855 0.058 False False
NewHybroVsNorbert2/00005_00000010.txt Hybroscale 20 2 1 0.165 0.206 0.021 False False
NewHybroVsNorbert2/00005_00000011.txt Hybroscale 20 4 2 1.698 1.183 0.088 False False
NewHybroVsNorbert2/00005_00000012.txt Hybroscale 20 4 2 1.698 1.158 0.071 False False
NewHybroVsNorbert2/00005_00000013.txt Hybroscale 20 5 3 1.712 1.418 0.081 False False
NewHybroVsNorbert2/00005_00000014.txt Hybroscale 20 5 3 1.709 1.407 0.12 False False
NewHybroVsNorbert2/00005_00000015.txt Hybroscale 20 2 1 0.165 0.188 0.038 False False
NewHybroVsNorbert2/00005_00000016.txt Hybroscale 20 5 3 1.713 2.144 0.089 False False
NewHybroVsNorbert2/00005_00000017.txt Hybroscale 20 5 3 1.716 1.497 0.065 False False
NewHybroVsNorbert2/00005_00000018.txt Hybroscale 20 5 3 1.716 1.802 0.085 False False
NewHybroVsNorbert2/00005_00000019.txt Hybroscale 20 5 4 1.726 3.583 0.126 False False
NewHybroVsNorbert2/00005_00000020.txt Hybroscale 20 5 4 1.719 2.013 0.11 False False
NewHybroVsNorbert2/00005_00000021.txt Hybroscale 20 5 3 1.707 1.855 0.078 False False
NewHybroVsNorbert2/00005_00000022.txt Hybroscale 20 5 4 1.714 1.35 0.028 False False
NewHybroVsNorbert2/00005_00000023.txt Hybroscale 20 5 4 3.18 1.82 0.089 False False
NewHybroVsNorbert2/00005_00000024.txt Hybroscale 20 5 3 1.709 1.507 0.049 False False
NewHybroVsNorbert2/00005_00000025.txt Hybroscale 20 5 5 2.707 2.478 0.096 False False
NewHybroVsNorbert2/00005_00000026.txt Hybroscale 20 5 4 3.732 8.94 0.187 False False
NewHybroVsNorbert2/00005_00000027.txt Hybroscale 20 5 4 1.738 2.915 0.089 False False
NewHybroVsNorbert2/00005_00000028.txt Hybroscale 20 5 4 1.737 3.823 0.114 False False
NewHybroVsNorbert2/00005_00000029.txt Hybroscale 20 5 4 1.722 1.585 0.085 False False
NewHybroVsNorbert2/00005_00000030.txt Hybroscale 20 5 4 5.86 18.03 0.31 False False
NewHybroVsNorbert2/00005_00000031.txt Hybroscale 20 5 5 7.823 26.319 0.631 False False
NewHybroVsNorbert2/00005_00000032.txt Hybroscale 20 5 5 3.808 11.084 0.161 False False
NewHybroVsNorbert2/00005_00000033.txt Hybroscale 20 5 5 3.762 10.561 0.226 False False
NewHybroVsNorbert2/00005_00000034.txt Hybroscale 20 5 5 1.757 3.489 0.085 False False
NewHybroVsNorbert2/00005_00000035.txt Hybroscale 20 5 4 1.73 1.824 0.08 False False
NewHybroVsNorbert2/00005_00000036.txt Hybroscale 20 5 5 4.754 15.238 0.418 False False
NewHybroVsNorbert2/00005_00000037.txt Hybroscale 20 5 6 4.765 14.495 0.383 False False
NewHybroVsNorbert2/00005_00000038.txt Hybroscale 20 5 4 3.732 9.985 0.231 False False
NewHybroVsNorbert2/00005_00000039.txt Hybroscale 20 5 6 7.889 26.009 0.604 False False
NewHybroVsNorbert2/00005_00000040.txt Hybroscale 20 5 4 1.72 1.965 0.073 False False
NewHybroVsNorbert2/00005_00000041.txt Hybroscale 20 5 6 7.622 26.937 0.612 False False
NewHybroVsNorbert2/00005_00000042.txt Hybroscale 20 5 6 4.227 1.974 0.076 False False
NewHybroVsNorbert2/00005_00000043.txt Hybroscale 20 5 5 2.772 8.452 0.209 False False
NewHybroVsNorbert2/00005_00000044.txt Hybroscale 20 5 6 83.753 328.246 1.337 False False
NewHybroVsNorbert2/00005_00000045.txt Hybroscale 20 5 5 3.789 12.447 0.281 False False
NewHybroVsNorbert2/00005_00000046.txt Hybroscale 20 5 8 140.955 550.512 1.312 False False
NewHybroVsNorbert2/00005_00000047.txt Hybroscale 20 5 7 12.7 45.656 0.741 False False
NewHybroVsNorbert2/00005_00000048.txt Hybroscale 20 5 5 4.801 14.271 0.314 False False
NewHybroVsNorbert2/00005_00000049.txt Hybroscale 20 5 7 14.839 52.398 0.886 False False
NewHybroVsNorbert2/00005_00000050.txt Hybroscale 20 5 6 7.194 22.745 0.461 False False
NewHybroVsNorbert2/00005_00000051.txt Hybroscale 21 5 -21 9999 9999 9999 True False
NewHybroVsNorbert2/00005_00000052.txt Hybroscale 20 5 5 3.931 9.95 0.173 False False
NewHybroVsNorbert2/00005_00000053.txt Hybroscale 20 5 7 33.656 130.577 0.961 False False
NewHybroVsNorbert2/00005_00000054.txt Hybroscale 20 5 7 37.922 145.24 0.913 False False
NewHybroVsNorbert2/00005_00000055.txt Hybroscale 20 5 8 46.917 179.856 0.824 False False
NewHybroVsNorbert2/00005_00000056.txt Hybroscale 20 5 9 1010.032 4006.782 4.598 False False
NewHybroVsNorbert2/00005_00000057.txt Hybroscale 20 5 5 3.741 10.288 0.202 False False
NewHybroVsNorbert2/00005_00000058.txt Hybroscale 20 5 7 24.12 91.216 0.837 False False
NewHybroVsNorbert2/00005_00000059.txt Hybroscale 20 5 7 12.133 43.711 0.837 False False
NewHybroVsNorbert2/00005_00000060.txt Hybroscale 20 5 6 5.82 17.887 0.369 False False
NewHybroVsNorbert2/00005_00000061.txt Hybroscale 21 5 -21 9999 9999 9999 True False
NewHybroVsNorbert2/00005_00000062.txt Hybroscale 20 5 9 504.155 1998.04 2.453 False False
NewHybroVsNorbert2/00005_00000063.txt Hybroscale 20 5 8 5.995 21.13 0.374 False False
NewHybroVsNorbert2/00005_00000064.txt Hybroscale 20 5 8 208.311 823.046 1.737 False False
NewHybroVsNorbert2/00005_00000065.txt Hybroscale 20 5 9 219.296 865.63 1.668 False False
NewHybroVsNorbert2/00005_00000066.txt Hybroscale 21 5 -21 9999 9999 9999 True False
NewHybroVsNorbert2/00005_00000067.txt Hybroscale 21 5 -21 9999 9999 9999 True False
NewHybroVsNorbert2/00005_00000068.txt Hybroscale 20 5 9 112.923 444.563 1.209 False False
NewHybroVsNorbert2/00005_00000069.txt Hybroscale 21 5 -21 9999 9999 9999 True False
NewHybroVsNorbert2/00005_00000070.txt Hybroscale 20 5 9 241.277 954.929 1.617 False False
NewHybroVsNorbert2/00005_00000071.txt Hybroscale 21 5 -21 9999 9999 9999 True False
NewHybroVsNorbert2/00005_00000072.txt Hybroscale 20 5 8 79.112 311.497 1.252 False False
NewHybroVsNorbert2/00010_00000001.txt Hybroscale 20 2 1 0.17 0.204 0.024 False False
NewHybroVsNorbert2/00010_00000002.txt Hybroscale 20 2 1 0.151 0.206 0.009 False False
NewHybroVsNorbert2/00010_00000004.txt Hybroscale 20 2 1 0.161 0.182 0.04 False False
NewHybroVsNorbert2/00010_00000005.txt Hybroscale 20 2 1 0.153 0.2 0.013 False False
NewHybroVsNorbert2/00010_00000007.txt Hybroscale 20 2 1 0.153 0.186 0.031 False False
NewHybroVsNorbert2/00010_00000008.txt Hybroscale 20 4 2 1.69 0.973 0.057 False False
NewHybroVsNorbert2/00010_00000009.txt Hybroscale 20 2 1 0.16 0.196 0.02 False False
NewHybroVsNorbert2/00010_00000010.txt Hybroscale 20 4 2 1.674 0.935 0.057 False False
NewHybroVsNorbert2/00010_00000012.txt Hybroscale 20 4 2 0.168 0.23 0.021 False False
NewHybroVsNorbert2/00010_00000013.txt Hybroscale 20 8 3 1.708 0.919 0.057 False False
NewHybroVsNorbert2/00010_00000014.txt Hybroscale 20 4 2 1.684 0.75 0.057 False False
NewHybroVsNorbert2/00010_00000015.txt Hybroscale 20 8 3 26.295 100.645 1.334 False False
NewHybroVsNorbert2/00010_00000016.txt Hybroscale 20 4 2 0.163 0.207 0.04 False False
NewHybroVsNorbert2/00010_00000017.txt Hybroscale 20 8 3 46.966 179.935 1.462 False False
NewHybroVsNorbert2/00010_00000018.txt Hybroscale 20 8 3 42.902 164.076 1.633 False False
NewHybroVsNorbert2/00010_00000019.txt Hybroscale 20 10 4 29.405 112.876 1.35 False False
NewHybroVsNorbert2/00010_00000020.txt Hybroscale 20 4 2 1.687 0.755 0.044 False False
NewHybroVsNorbert2/00010_00000021.txt Hybroscale 20 4 2 1.7 1.163 0.07 False False
NewHybroVsNorbert2/00010_00000022.txt Hybroscale 20 8 3 0.206 0.363 0.016 False False
NewHybroVsNorbert2/00010_00000023.txt Hybroscale 21 10 -21 9999 9999 9999 True False
NewHybroVsNorbert2/00010_00000024.txt Hybroscale 20 10 4 23.851 84.684 0.937 False False
NewHybroVsNorbert2/00010_00000025.txt Hybroscale 21 10 -21 9999 9999 9999 True False
NewHybroVsNorbert2/00010_00000026.txt Hybroscale 20 10 5 6.463 10.77 0.239 False False
NewHybroVsNorbert2/00010_00000027.txt Hybroscale 21 10 -21 9999 9999 9999 True False
NewHybroVsNorbert2/00010_00000029.txt Hybroscale 21 10 -21 9999 9999 9999 True False
NewHybroVsNorbert2/00010_00000030.txt Hybroscale 21 10 -21 9999 9999 9999 True False
NewHybroVsNorbert2/00010_00000031.txt Hybroscale 21 10 -21 9999 9999 9999 True False
NewHybroVsNorbert2/00010_00000032.txt Hybroscale 21 10 -21 9999 9999 9999 True False
NewHybroVsNorbert2/00010_00000033.txt Hybroscale 21 10 -21 9999 9999 9999 True False
NewHybroVsNorbert2/00010_00000034.txt Hybroscale 21 10 -21 9999 9999 9999 True False
NewHybroVsNorbert2/00010_00000035.txt Hybroscale 21 10 -21 9999 9999 9999 True False
NewHybroVsNorbert2/00010_00000036.txt Hybroscale 21 10 -21 9999 9999 9999 True False
NewHybroVsNorbert2/00010_00000037.txt Hybroscale 21 10 -21 9999 9999 9999 True False
NewHybroVsNorbert2/00010_00000039.txt Hybroscale 21 10 -21 9999 9999 9999 True False
NewHybroVsNorbert2/00010_00000040.txt Hybroscale 21 10 -21 9999 9999 9999 True False
NewHybroVsNorbert2/00010_00000041.txt Hybroscale 21 10 -21 9999 9999 9999 True False
NewHybroVsNorbert2/00010_00000042.txt Hybroscale 21 10 -21 9999 9999 9999 True False
NewHybroVsNorbert2/00010_00000044.txt Hybroscale 21 10 -21 9999 9999 9999 True False
NewHybroVsNorbert2/00010_00000045.txt Hybroscale 21 10 -21 9999 9999 9999 True False
NewHybroVsNorbert2/00010_00000046.txt Hybroscale 21 10 -21 9999 9999 9999 True False
NewHybroVsNorbert2/00010_00000047.txt Hybroscale 21 10 -21 9999 9999 9999 True False
NewHybroVsNorbert2/00010_00000048.txt Hybroscale 21 10 -21 9999 9999 9999 True False
NewHybroVsNorbert2/00010_00000049.txt Hybroscale 21 10 -21 9999 9999 9999 True False
NewHybroVsNorbert2/00010_00000050.txt Hybroscale 21 10 -21 9999 9999 9999 True False
NewHybroVsNorbert2/00010_00000055.txt Hybroscale 21 10 -21 9999 9999 9999 True False
NewHybroVsNorbert2/00010_00000056.txt Hybroscale 21 10 -21 9999 9999 9999 True False
NewHybroVsNorbert2/00010_00000057.txt Hybroscale 21 10 -21 9999 9999 9999 True False
NewHybroVsNorbert2/00010_00000058.txt Hybroscale 21 10 -21 9999 9999 9999 True False
NewHybroVsNorbert2/00010_00000059.txt Hybroscale 21 10 -21 9999 9999 9999 True False
NewHybroVsNorbert2/00010_00000060.txt Hybroscale 20 10 -20
NewHybroVsNorbert2/00010_00000061.txt Hybroscale 21 10 -21 9999 9999 9999 True False
NewHybroVsNorbert2/00010_00000062.txt Hybroscale 21 10 -21 9999 9999 9999 True False
