input w t1 t2 t3
10_00000068 8000 0.649 2.106 0.456
10_00000068 80000 1.068 2.555 1.543
10_00000068 800000 1.251 2.565 2.416
10_00000068 9 0.74 2.609 0.324
10_00000068 90 0.582 1.98 0.321
10_00000068 900 0.616 2.067 0.368
10_00000068 9000 0.604 1.928 0.451
10_00000068 90000 0.978 2.301 1.315
10_00000068 900000 1.116 2.452 1.988
10_00000081 infty 5.201 7.215 3.18
10_00000081 1 1.914 6.89 0.74
10_00000081 10 1.301 4.767 0.411
10_00000081 100 1.423 5.213 0.453
10_00000081 1000 1.369 4.914 0.54
10_00000081 10000 1.52 4.999 1.053
10_00000081 100000 2.248 6.121 2.701
10_00000081 2 1.748 6.164 0.804
10_00000081 20 1.431 4.983 0.708
10_00000081 200 1.274 4.613 0.46
10_00000081 2000 1.69 5.905 0.829
10_00000081 20000 1.694 5.531 1.197
10_00000081 200000 2.98 7.413 4.291
10_00000081 3 1.851 6.519 0.857
10_00000081 30 1.71 6.006 0.807
10_00000081 300 1.292 4.641 0.503
10_00000081 3000 1.784 6.243 0.853
10_00000081 30000 1.829 5.61 1.62
10_00000081 300000 3.126 7.891 4.187
10_00000081 4 1.476 5.376 0.504
10_00000081 40 1.686 5.946 0.767
10_00000081 400 1.754 6.202 0.783
10_00000081 4000 1.512 5.156 0.864
10_00000081 40000 1.734 5.333 1.547
10_00000081 400000 3.218 7.843 4.735
10_00000081 5 1.366 4.739 0.703
10_00000081 50 1.757 6.371 0.624
10_00000081 500 1.716 6.067 0.775
10_00000081 5000 1.408 4.669 0.931
10_00000081 50000 2.086 6.132 2.125
10_00000081 500000 3.535 8.518 5.444
10_00000081 6 1.555 5.59 0.608
10_00000081 60 1.681 5.992 0.707
10_00000081 600 1.324 4.746 0.516
10_00000081 6000 1.7 5.998 0.772
10_00000081 60000 1.935 5.738 1.879
10_00000081 600000 3.825 9.006 5.619
10_00000081 7 1.713 6.135 0.695
10_00000081 70 1.866 6.545 0.9
10_00000081 700 1.436 4.882 0.841
10_00000081 7000 1.483 4.983 0.915
10_00000081 70000 1.983 5.795 2.048
10_00000081 700000 4.161 9.999 5.833
10_00000081 8 1.42 4.924 0.729
10_00000081 80 1.435 5.126 0.589
10_00000081 800 1.392 4.861 0.68
10_00000081 8000 1.41 4.787 0.816
10_00000081 80000 2.104 6.034 2.25
10_00000081 800000 4.482 10.04 6.56
10_00000081 9 1.79 6.423 0.703
10_00000081 90 1.627 5.778 0.7
10_00000081 900 1.835 6.62 0.695
10_00000081 9000 1.676 5.517 1.148
10_00000081 90000 2.235 6.37 2.395
10_00000081 900000 4.671 10.334 6.871
10_00000082 infty 4.313 5.978 2.641
10_00000082 1 1.496 5.238 0.719
10_00000082 10 1.473 5.136 0.728
10_00000082 100 1.414 5.088 0.539
10_00000082 1000 1.548 5.425 0.741
10_00000082 10000 1.537 5.282 0.828
10_00000082 100000 1.998 5.687 2.269
10_00000082 2 1.471 5.235 0.612
10_00000082 20 1.5 5.201 0.775
10_00000082 200 1.421 5.161 0.479
10_00000082 2000 1.564 5.484 0.744
10_00000082 20000 1.649 5.535 0.995
10_00000082 200000 2.724 6.989 3.883
10_00000082 3 1.456 5.309 0.492
10_00000082 30 1.542 5.493 0.652
10_00000082 300 1.463 5.145 0.676
10_00000082 3000 1.498 5.236 0.717
10_00000082 30000 1.701 5.472 1.217
10_00000082 300000 2.601 6.525 3.857
10_00000082 4 1.489 5.192 0.74
10_00000082 40 1.456 5.118 0.68
10_00000082 400 1.515 5.274 0.751
10_00000082 4000 1.458 5.202 0.604
10_00000082 40000 1.724 5.334 1.44
10_00000082 400000 3.508 8.512 5.493
10_00000082 5 1.409 5.075 0.536
10_00000082 50 1.469 5.221 0.628
10_00000082 500 1.441 5.092 0.645
10_00000082 5000 1.478 5.179 0.688
10_00000082 50000 1.853 5.485 1.863
10_00000082 500000 3.636 8.284 6.236
10_00000082 6 1.417 5.104 0.54
10_00000082 60 1.492 5.047 0.888
10_00000082 600 1.451 5.183 0.595
10_00000082 6000 1.559 5.353 0.848
10_00000082 60000 1.838 5.504 1.721
10_00000082 600000 3.542 8.183 5.96
10_00000082 7 1.387 5.084 0.427
10_00000082 70 1.421 5.091 0.569
10_00000082 700 1.524 5.381 0.689
10_00000082 7000 1.594 5.294 1.039
10_00000082 70000 1.831 5.501 1.655
10_00000082 700000 4.031 8.941 7.158
10_00000082 8 1.481 5.198 0.7
10_00000082 80 1.404 5.046 0.544
10_00000082 800 1.665 5.676 0.957
10_00000082 8000 1.588 5.455 0.845
10_00000082 80000 2.018 5.808 2.056
10_00000082 800000 4.325 9.758 7.515
10_00000082 9 1.51 5.249 0.763
10_00000082 90 1.472 5.168 0.696
10_00000082 900 1.426 5.068 0.599
10_00000082 9000 1.624 5.385 1.073
10_00000082 90000 2.088 6.058 2.266
10_00000082 900000 3.894 8.631 6.916
10_00000084 infty 31.29 50.922 11.648
10_00000084 1 8.508 30.05 3.951
10_00000084 10 8.585 31.617 2.688
10_00000084 100 9.084 32.092 4.213
10_00000084 1000 8.87 31.482 3.968
10_00000084 10000 9.147 32.245 4.304
10_00000084 100000 10.454 33.788 7.142
10_00000084 2 8.76 31.285 3.723
10_00000084 20 8.644 31.014 3.478
10_00000084 200 8.439 30.562 3.156
10_00000084 2000 8.597 31.31 3.036
10_00000084 20000 8.516 30.619 3.392
10_00000084 200000 10.309 32.438 8.122
10_00000084 3 8.615 30.153 4.277
10_00000084 30 9.266 33.698 3.292
10_00000084 300 8.88 31.127 4.363
10_00000084 3000 8.847 31.643 3.716
10_00000084 30000 8.754 30.752 4.218
10_00000084 300000 11.551 33.547 9.672
10_00000084 4 8.684 30.331 4.347
10_00000084 40 8.946 31.968 3.744
10_00000084 400 8.894 31.604 3.936
10_00000084 4000 8.731 30.134 4.757
10_00000084 40000 8.627 29.892 4.524
10_00000084 400000 12.015 34.528 10.932
10_00000084 5 8.301 30.056 3.118
10_00000084 50 8.881 29.831 3.98
10_00000084 500 8.98 31.956 3.933
10_00000084 5000 8.921 31.924 3.712
10_00000084 50000 9.492 32.447 5.444
10_00000084 500000 12.364 35.4 11.835
10_00000084 6 8.153 29.268 3.319
10_00000084 60 8.77 30.573 4.397
10_00000084 600 8.612 31.179 3.24
10_00000084 6000 8.965 31.956 3.86
10_00000084 60000 9.529 32.445 5.574
10_00000084 600000 12.548 35.095 12.842
10_00000084 7 8.974 32.197 3.676
10_00000084 70 8.282 30.057 3.036
10_00000084 700 8.465 30.03 3.795
10_00000084 7000 8.737 29.859 3.94
10_00000084 70000 9.542 32.247 5.439
10_00000084 700000 13.393 37.914 13.933
10_00000084 8 8.407 30.18 3.416
10_00000084 80 8.784 31.919 3.176
10_00000084 800 8.609 31.043 3.349
10_00000084 8000 9.621 32.227 4.474
10_00000084 80000 10.17 32.604 5.912
10_00000084 800000 13.494 36.436 15.309
10_00000084 9 8.882 30.966 4.54
10_00000084 90 8.305 29.657 3.523
10_00000084 900 8.329 30.12 3.16
10_00000084 9000 9.012 32.408 3.604
10_00000084 90000 9.936 31.231 6.123
10_00000084 900000 13.949 37.548 16.278
00005_0000000153 infty 273.091 394.38 151.783
00005_0000000153 1 95.585 339.105 43.073
00005_0000000153 10 90.71 318.295 44.448
00005_0000000153 100 89.746 317.886 40.922
00005_0000000153 1000 90.354 319.866 41.357
00005_0000000153 10000 69.081 239.887 36.306
00005_0000000153 100000 71.273 247.861 36.94
00005_0000000153 2 95.488 336.673 45.113
00005_0000000153 20 91.777 327.399 39.6
00005_0000000153 200 91.663 326.028 40.39
00005_0000000153 2000 67.914 241.04 30.482
00005_0000000153 20000 69.095 243.685 32.516
00005_0000000153 200000 71.403 245.221 40.117
00005_0000000153 3 72.674 256.564 34.038
00005_0000000153 30 90.354 321.041 40.239
00005_0000000153 300 90.501 322.688 39.113
00005_0000000153 3000 89.428 316.707 40.817
00005_0000000153 30000 70.937 247.741 35.841
00005_0000000153 300000 71.853 240.661 46.35
00005_0000000153 4 93.258 329.698 43.178
00005_0000000153 40 68.297 241.591 31.509
00005_0000000153 400 68.661 241.1 33.317
00005_0000000153 4000 67.529 238.713 31.247
00005_0000000153 40000 70.431 245.842 35.704
00005_0000000153 400000 74.946 250.224 48.923
00005_0000000153 5 92.678 325.285 45.317
00005_0000000153 50 88.547 317.176 36.908
00005_0000000153 500 87.587 311.199 38.966
00005_0000000153 5000 68.608 243.584 30.686
00005_0000000153 50000 70.734 247.334 35.438
00005_0000000153 500000 74.892 248.659 50.452
00005_0000000153 6 93.283 330.679 42.271
00005_0000000153 60 88.202 310.951 41.752
00005_0000000153 600 90.363 320.798 40.483
00005_0000000153 6000 67.453 237.31 32.364
00005_0000000153 60000 71.136 247.831 36.531
00005_0000000153 600000 73.61 244.318 49.556
00005_0000000153 7 92.098 326.28 41.989
00005_0000000153 70 69.102 243.708 32.003
00005_0000000153 700 90.196 318.967 41.625
00005_0000000153 7000 68.996 239.892 35.937
00005_0000000153 70000 71.08 248.148 35.943
00005_0000000153 700000 77.209 252.537 55.676
00005_0000000153 8 92.506 326.863 43.048
00005_0000000153 80 93.327 330.337 42.852
00005_0000000153 800 67.727 240.785 29.964
00005_0000000153 8000 68.043 241.787 30.204
00005_0000000153 80000 70.039 244.506 35.445
00005_0000000153 800000 78.834 254.864 59.537
00005_0000000153 9 92.095 323.538 44.739
00005_0000000153 90 89.992 316.924 42.121
00005_0000000153 900 88.108 312.672 39.546
00005_0000000153 9000 69.465 247.266 30.434
00005_0000000153 90000 71.885 249.105 38.228
00005_0000000153 900000 78.303 252.583 59.93
00005_0000000154 infty 5.537 6.929 4.137
00005_0000000154 1 2.935 10.455 1.252
00005_0000000154 10 3.264 11.63 1.388
00005_0000000154 100 2.993 10.508 1.436
00005_0000000154 1000 3.267 11.53 1.512
00005_0000000154 10000 3.523 11.95 2.099
00005_0000000154 100000 4.323 13.01 4.122
00005_0000000154 2 2.897 10.326 1.24
00005_0000000154 20 3.05 10.763 1.42
00005_0000000154 200 3.108 11.101 1.302
00005_0000000154 2000 3.42 12.319 1.336
00005_0000000154 20000 3.655 12.453 2.125
00005_0000000154 200000 4.041 11.287 4.532
00005_0000000154 3 3.157 11.011 1.6
00005_0000000154 30 3.441 11.919 1.819
00005_0000000154 300 3.417 11.669 1.983
00005_0000000154 3000 3.371 11.307 2.154
00005_0000000154 30000 3.536 11.776 2.315
00005_0000000154 300000 4.922 13.122 6.047
00005_0000000154 4 3.055 10.788 1.412
00005_0000000154 40 3.141 11.14 1.399
00005_0000000154 400 3.485 12.204 1.714
00005_0000000154 4000 3.507 11.975 2.027
00005_0000000154 40000 3.379 11.238 2.213
00005_0000000154 400000 4.468 11.757 5.512
00005_0000000154 5 3.113 10.792 1.642
00005_0000000154 50 3.388 12.286 1.239
00005_0000000154 500 3.112 10.949 1.475
00005_0000000154 5000 3.415 11.737 1.902
00005_0000000154 50000 3.687 11.661 3.027
00005_0000000154 500000 5.1 12.276 7.605
00005_0000000154 6 3.248 11.543 1.43
00005_0000000154 60 3.465 12.273 1.567
00005_0000000154 600 3.185 11.182 1.539
00005_0000000154 6000 3.445 11.717 2.032
00005_0000000154 60000 3.824 12.351 2.844
00005_0000000154 600000 5.166 12.044 7.479
00005_0000000154 7 3.233 11.515 1.383
00005_0000000154 70 3.326 11.487 1.799
00005_0000000154 700 3.312 11.601 1.627
00005_0000000154 7000 3.577 12.22 2.065
00005_0000000154 70000 3.583 11.613 2.664
00005_0000000154 700000 5.074 12.092 7.836
00005_0000000154 8 3.236 11.031 1.894
00005_0000000154 80 3.086 10.848 1.48
00005_0000000154 800 3.194 11.3 1.455
00005_0000000154 8000 3.295 11.635 1.504
00005_0000000154 80000 3.742 11.88 2.956
00005_0000000154 800000 5.731 13.283 8.869
00005_0000000154 9 3.061 10.654 1.564
00005_0000000154 90 3.095 10.748 1.603
00005_0000000154 900 3.735 13.112 1.8
00005_0000000154 9000 3.225 10.612 2.26
00005_0000000154 90000 3.818 11.947 3.24
00005_0000000154 900000 5.507 11.378 8.919
00015_0000000151 infty 1063.757 1447.004 680.379
00015_0000000151 1 191.726 680.014 86.556
00015_0000000151 10 190.241 674.677 85.79
00015_0000000151 100 187.991 665.979 85.589
00015_0000000151 1000 186.629 661.656 84.496
00015_0000000151 10000 229.11 810.091 105.851
00015_0000000151 100000 230.585 810.133 111.674
00015_0000000151 2 192.133 682.127 86.047
00015_0000000151 20 192.274 680.061 88.487
00015_0000000151 200 232.082 820.336 107.505
00015_0000000151 2000 228.404 812.556 100.622
00015_0000000151 20000 227.573 806.841 103.04
00015_0000000151 200000 235.037 822.348 117.21
00015_0000000151 3 190.594 682.413 79.57
00015_0000000151 30 234.583 828.957 108.274
00015_0000000151 300 227.912 813.2 98.039
00015_0000000151 3000 188.566 668.448 85.414
00015_0000000151 30000 229.358 810.581 106.378
00015_0000000151 300000 232.432 814.202 114.818
00015_0000000151 4 235.435 834.137 105.682
00015_0000000151 40 192.104 674.773 87.082
00015_0000000151 400 190.419 674.329 86.96
00015_0000000151 4000 231.999 822.509 105.077
00015_0000000151 40000 229.254 810.681 105.896
00015_0000000151 400000 230.472 806.031 115.129
00015_0000000151 5 231.859 829.834 96.944
00015_0000000151 50 193.89 672.473 88.724
00015_0000000151 500 231.668 818.488 107.77
00015_0000000151 5000 187.548 663.236 86.61
00015_0000000151 50000 228.121 806.538 105.425
00015_0000000151 500000 235.261 817.492 122.499
00015_0000000151 6 232.57 827.671 101.914
00015_0000000151 60 191.66 674.032 83.588
00015_0000000151 600 227.686 808.066 102.282
00015_0000000151 6000 190.365 669.881 91.185
00015_0000000151 60000 230.615 816.164 105.843
00015_0000000151 600000 235.712 819.767 122.258
00015_0000000151 7 191.257 679.673 84.867
00015_0000000151 70 189.082 667.468 88.464
00015_0000000151 700 230.361 813.193 107.78
00015_0000000151 7000 232.663 821.03 109.205
00015_0000000151 70000 229.413 806.537 110.677
00015_0000000151 700000 236.108 816.168 127.22
00015_0000000151 8 191.677 680.113 86.039
00015_0000000151 80 229.014 810.367 105.283
00015_0000000151 800 189.362 671.744 85.355
00015_0000000151 8000 232.108 820.817 106.602
00015_0000000151 80000 230.92 808.854 114.295
00015_0000000151 800000 236.449 819.341 125.514
00015_0000000151 9 191.135 681.017 83.006
00015_0000000151 90 227.873 807.978 102.451
00015_0000000151 900 232.813 823.47 107.337
00015_0000000151 9000 231.139 822.515 101.574
00015_0000000151 90000 232.605 821.037 108.79
00015_0000000151 900000 238.124 825.021 126.481
00020_00000085 infty 18.03 25.53 10.519
00020_00000085 1 5.198 18.693 2.035
00020_00000085 10 5.712 19.254 2.117
00020_00000085 100 5.261 19.224 1.78
00020_00000085 1000 5.339 18.664 2.272
00020_00000085 10000 5.265 18.744 2.252
00020_00000085 100000 5.853 19.655 3.377
00020_00000085 2 5.346 19.153 2.109
00020_00000085 20 5.379 19.093 2.38
00020_00000085 200 5.449 19.051 2.7
00020_00000085 2000 4.94 18.041 1.457
00020_00000085 20000 5.465 19.541 2.212
00020_00000085 200000 6.67 21.116 4.983
00020_00000085 3 5.621 19.632 2.554
00020_00000085 30 5.324 19.184 2.067
00020_00000085 300 5.699 19.859 2.895
00020_00000085 3000 5.162 18.693 1.896
00020_00000085 30000 5.556 19.205 2.904
00020_00000085 300000 7.351 22.645 6.026
00020_00000085 4 5.45 18.486 1.722
00020_00000085 40 5.217 18.62 2.208
00020_00000085 400 5.251 19.149 1.815
00020_00000085 4000 5.469 19.3 2.206
00020_00000085 40000 5.6 19.601 2.603
00020_00000085 400000 7.817 22.691 7.85
00020_00000085 5 5.331 18.584 2.277
00020_00000085 50 5.165 18.764 1.847
00020_00000085 500 5.437 19.369 2.335
00020_00000085 5000 5.396 19.127 2.384
00020_00000085 50000 5.609 19.367 2.803
00020_00000085 500000 8.694 23.992 9.26
00020_00000085 6 5.144 18.353 1.878
00020_00000085 60 5.231 18.58 2.299
00020_00000085 600 5.261 18.745 2.255
00020_00000085 6000 5.68 19.219 3.447
00020_00000085 60000 5.574 19.598 2.559
00020_00000085 600000 8.527 23.722 8.126
00020_00000085 7 5.41 19.163 2.21
00020_00000085 70 5.329 19.126 2.144
00020_00000085 700 5.036 18.269 1.824
00020_00000085 7000 5.338 18.599 2.687
00020_00000085 70000 5.864 19.975 3.181
00020_00000085 700000 8.269 23.354 9.55
00020_00000085 8 4.789 17.538 1.572
00020_00000085 80 5.136 18.362 2.132
00020_00000085 800 5.192 18.763 1.952
00020_00000085 8000 5.339 19.171 2.124
00020_00000085 80000 5.731 19.66 2.947
00020_00000085 800000 9.969 26.013 12.971
00020_00000085 9 5.31 18.982 2.205
00020_00000085 90 4.926 17.636 2.028
00020_00000085 900 5.57 19.889 2.248
00020_00000085 9000 5.5 19.459 2.46
00020_00000085 90000 5.809 20.106 2.981
00020_00000085 900000 10.845 26.342 13.335
00050_00000097 infty 1140.671 1634.831 646.335
00050_00000097 1 176.935 641.008 66.286
00050_00000097 10 180.566 643.578 78.255
00050_00000097 100 183.74 653.142 81.435
00050_00000097 1000 187.4 661.062 87.538
00050_00000097 10000 181.021 642.024 81.581
00050_00000097 100000 185.911 648.334 93.855
00050_00000097 2 180.493 642.625 78.925
00050_00000097 20 183.431 647.482 85.755
00050_00000097 200 182.047 648.628 79.114
00050_00000097 2000 183.488 650.641 82.901
00050_00000097 20000 181.073 640.466 83.383
00050_00000097 200000 186.018 646.693 96.522
00050_00000097 3 193.628 669.274 104.808
00050_00000097 30 178.691 641.554 72.816
00050_00000097 300 187.92 654.533 96.662
00050_00000097 3000 184.611 652.972 85.029
00050_00000097 30000 183.826 647.606 87.062
00050_00000097 300000 191.308 647.617 114.552
00050_00000097 4 185.389 659.291 81.854
00050_00000097 40 181.299 648.325 76.402
00050_00000097 400 184.698 655.821 82.585
00050_00000097 4000 181.523 645.27 80.361
00050_00000097 40000 185.255 651.348 89.054
00050_00000097 400000 190.498 660.251 98.237
00050_00000097 5 183.848 650.288 84.705
00050_00000097 50 182.408 645.69 83.557
00050_00000097 500 180.765 641.974 80.649
00050_00000097 5000 184.512 650.117 87.442
00050_00000097 50000 185.442 648.329 92.467
00050_00000097 500000 196.416 672.477 107.842
00050_00000097 6 182.011 648.992 78.64
00050_00000097 60 163.016 583.731 67.985
00050_00000097 600 183.801 644.879 89.944
00050_00000097 6000 185.155 653.555 86.604
00050_00000097 60000 179.887 636.994 81.641
00050_00000097 600000 200.183 674.254 121.161
00050_00000097 7 184.722 653.123 85.31
00050_00000097 70 166.29 583.192 81.61
00050_00000097 700 184.113 650.545 85.527
00050_00000097 7000 181.155 642.623 81.582
00050_00000097 70000 186.21 655.874 88.198
00050_00000097 700000 209.921 674.199 121.752
00050_00000097 8 178.19 635.909 75.838
00050_00000097 80 181.017 642.052 81.575
00050_00000097 800 184.054 649.303 86.522
00050_00000097 8000 182.784 646.794 83.908
00050_00000097 80000 186.373 647.257 97.472
00050_00000097 800000 198.0 669.717 116.953
00050_00000097 9 180.897 644.566 78.639
00050_00000097 90 182.48 646.293 83.239
00050_00000097 900 183.414 643.101 90.107
00050_00000097 9000 184.875 654.423 84.575
00050_00000097 90000 183.472 647.142 86.16
00050_00000097 900000 201.162 677.442 123.533
00100_00000100 infty 755.246 1011.162 499.245
00100_00000100 1 293.871 1039.106 135.519
00100_00000100 10 305.127 1050.736 169.037
00100_00000100 100 306.304 1044.193 180.164
00100_00000100 1000 293.039 1036.315 135.127
00100_00000100 10000 311.455 1062.596 182.344
00100_00000100 100000 307.471 1067.998 160.391
00100_00000100 2 298.395 1049.353 143.507
00100_00000100 20 297.616 1050.766 138.936
00100_00000100 200 297.234 1048.452 139.74
00100_00000100 2000 298.991 1044.958 150.225
00100_00000100 20000 293.176 1045.086 126.843
00100_00000100 200000 319.92 1076.162 201.456
00100_00000100 3 312.171 1062.621 185.277
00100_00000100 30 296.112 1042.244 141.452
00100_00000100 300 301.889 1060.69 146.028
00100_00000100 3000 303.463 1054.99 158.106
00100_00000100 30000 300.216 1045.707 154.108
00100_00000100 300000 314.452 1053.887 201.976
00100_00000100 4 305.302 1054.014 166.495
00100_00000100 40 303.038 1055.286 155.996
00100_00000100 400 299.046 1047.208 148.268
00100_00000100 4000 297.132 1050.241 137.449
00100_00000100 40000 299.504 1039.845 157.16
00100_00000100 400000 311.835 1056.225 186.794
00100_00000100 5 300.225 1045.848 154.283
00100_00000100 50 301.108 1052.262 151.46
00100_00000100 500 303.777 1059.124 155.198
00100_00000100 5000 301.834 1048.237 158.351
00100_00000100 50000 305.123 1049.669 169.873
00100_00000100 500000 322.708 1068.942 217.688
00100_00000100 6 301.94 1055.187 151.812
00100_00000100 60 300.749 1057.412 144.829
00100_00000100 600 299.538 1057.697 139.688
00100_00000100 6000 301.044 1052.623 150.768
00100_00000100 60000 295.858 1051.837 130.651
00100_00000100 600000 319.479 1067.889 205.791
00100_00000100 7 305.03 1046.271 173.005
00100_00000100 70 295.376 1045.742 134.977
00100_00000100 700 295.205 1040.377 139.57
00100_00000100 7000 298.646 1053.732 140.093
00100_00000100 70000 305.37 1055.636 164.392
00100_00000100 700000 322.475 1068.041 216.653
00100_00000100 8 292.015 1042.373 124.981
00100_00000100 80 298.944 1048.88 146.114
00100_00000100 800 290.308 1038.898 121.62
00100_00000100 8000 296.999 1043.581 143.627
00100_00000100 80000 305.092 1046.759 172.533
00100_00000100 800000 329.893 1075.059 235.312
00100_00000100 9 296.717 1046.05 140.061
00100_00000100 90 294.832 1047.322 131.292
00100_00000100 900 301.363 1052.785 151.903
00100_00000100 9000 301.458 1053.267 151.802
00100_00000100 90000 300.004 1057.629 141.236
00100_00000100 900000 336.281 1082.396 255.209
00100_00000132 infty 56.374 63.676 49.055
00100_00000132 1 16.826 60.307 6.935
00100_00000132 10 16.745 59.857 7.047
00100_00000132 100 17.077 60.752 7.475
00100_00000132 1000 14.594 51.778 6.528
00100_00000132 10000 15.035 52.514 7.54
00100_00000132 100000 17.652 55.821 13.991
00100_00000132 2 17.147 61.303 7.224
00100_00000132 20 14.155 51.566 4.999
00100_00000132 200 15.272 54.004 6.437
00100_00000132 2000 14.665 52.7 5.892
00100_00000132 20000 15.192 52.676 7.949
00100_00000132 200000 19.605 58.89 18.974
00100_00000132 3 17.541 62.202 7.907
00100_00000132 30 14.672 51.984 6.639
00100_00000132 300 14.302 51.281 5.847
00100_00000132 3000 15.335 51.747 9.511
00100_00000132 30000 15.439 52.449 9.158
00100_00000132 300000 21.141 61.614 22.002
00100_00000132 4 16.929 60.662 6.995
00100_00000132 40 17.401 62.491 7.051
00100_00000132 400 15.382 54.092 7.375
00100_00000132 4000 15.928 55.325 8.299
00100_00000132 40000 15.833 52.909 10.171
00100_00000132 400000 23.592 64.257 27.823
00100_00000132 5 16.55 58.561 7.584
00100_00000132 50 15.248 53.851 7.087
00100_00000132 500 16.548 58.824 7.303
00100_00000132 5000 14.581 52.079 6.142
00100_00000132 50000 16.801 55.327 11.576
00100_00000132 500000 25.336 67.514 31.791
00100_00000132 6 17.003 60.666 7.282
00100_00000132 60 15.356 53.498 7.874
00100_00000132 600 14.996 53.227 6.702
00100_00000132 6000 15.071 52.28 6.918
00100_00000132 60000 17.277 56.118 12.507
00100_00000132 600000 26.248 66.835 35.746
00100_00000132 7 16.585 59.333 6.954
00100_00000132 70 16.697 59.025 7.696
00100_00000132 700 15.217 53.957 6.852
00100_00000132 7000 15.224 53.645 7.154
00100_00000132 70000 17.177 56.329 12.083
00100_00000132 700000 27.571 68.837 37.935
00100_00000132 8 16.369 59.141 6.268
00100_00000132 80 14.663 51.999 6.591
00100_00000132 800 14.204 50.986 5.775
00100_00000132 8000 15.482 53.952 7.841
00100_00000132 80000 17.448 56.038 13.179
00100_00000132 800000 25.438 64.216 36.248
00100_00000132 9 15.98 57.209 6.644
00100_00000132 90 16.754 59.492 7.451
00100_00000132 900 14.579 51.903 6.347
